volcano,volcanoLabel,latitude,longitude
http://www.wikidata.org/entity/Q828701,Beru,8.9495,39.753
http://www.wikidata.org/entity/Q804039,Mount Bisoke,-1.5111111111111,29.448333333333
http://www.wikidata.org/entity/Q814113,Beerenberg,71.079666666667,-8.1558805555556
http://www.wikidata.org/entity/Q906358,Volcán Maipo,-34.163916666667,-69.832166666667
http://www.wikidata.org/entity/Q859376,Volcán de Fuego,14.474722222222,-90.880833333333
http://www.wikidata.org/entity/Q717453,Mount Tateshina,36.103611111111,138.295
http://www.wikidata.org/entity/Q1156943,Maderas,11.445833333333,-85.515
http://www.wikidata.org/entity/Q1067417,Mount Hakone,35.23,139.02388888889
http://www.wikidata.org/entity/Q1125445,Mount Tendürek,39.356,43.8741
http://www.wikidata.org/entity/Q1056001,Cerro Verde,13.827777777778,-89.625277777778
http://www.wikidata.org/entity/Q1028902,Camiguin de Babuyanes,18.83333333,121.86
http://www.wikidata.org/entity/Q937167,Rano Raraku,-27.18632,-109.43524
http://www.wikidata.org/entity/Q1020272,Búrfell,64.08694444,-19.82777778
http://www.wikidata.org/entity/Q1139121,Gareloi Volcano,51.786666666667,-178.80305555556
http://www.wikidata.org/entity/Q835770,Fremrinámar,65.429733,-16.645963
http://www.wikidata.org/entity/Q757314,Atlasov Island,50.859722222222,155.55944444444
http://www.wikidata.org/entity/Q1026302,Calbuco,-41.332777777778,-72.611111111111
http://www.wikidata.org/entity/Q913722,Bridgeman Island,-62.066666666667,-56.733333333333
http://www.wikidata.org/entity/Q1141849,Helgafell,63.4293,-20.2601
http://www.wikidata.org/entity/Q714605,Mount Bandai,37.600833333333,140.07222222222
http://www.wikidata.org/entity/Q1057979,Mount Tarumae,42.69,141.37805555556
http://www.wikidata.org/entity/Q896523,Großer Beerberg,50.659444444444,10.746111111111
http://www.wikidata.org/entity/Q928681,Mount Pico,38.467271,-28.40095
http://www.wikidata.org/entity/Q1049619,Izalco,13.813055555556,-89.633333333333
http://www.wikidata.org/entity/Q1053880,Central Island,3.5,36.05
http://www.wikidata.org/entity/Q851232,Mount Chiginagak,57.133611111111,-156.99138888889
http://www.wikidata.org/entity/Q989650,Mount Algidus,41.7267,12.7786
http://www.wikidata.org/entity/Q499164,Ascraeus Mons,11.92,255.92
http://www.wikidata.org/entity/Q210252,Klyuchevskaya Sopka,56.066666666667,160.63333333333
http://www.wikidata.org/entity/Q614531,Antsiferov Island,50.2,154.98333333333
http://www.wikidata.org/entity/Q288403,Sarychev Peak,48.090555555556,153.20138888889
http://www.wikidata.org/entity/Q385882,Fuss Peak,50.269722222222,155.2475
http://www.wikidata.org/entity/Q614531,Antsiferov Island,50.200555555556,154.98138888889
http://www.wikidata.org/entity/Q3117621,Uranius group of volcanoes,25.0,267.0
http://www.wikidata.org/entity/Q3156114,Yakeyama,45.0282,147.917
http://www.wikidata.org/entity/Q3367232,Tri Sestry,45.93,149.92
http://www.wikidata.org/entity/Q3156114,Yakeyama,45.0125,147.87361111111
http://www.wikidata.org/entity/Q3695505,Mount Hiuchigatake,36.95298,139.28716
http://www.wikidata.org/entity/Q3742394,Mount Shiga,36.69999,138.51273
http://www.wikidata.org/entity/Q3139453,Mount Tomuraushi,43.52722222,142.84861111
http://www.wikidata.org/entity/Q1866824,Ljósufjöll,64.87,-22.23
http://www.wikidata.org/entity/Q1544338,North Head,-36.827752777778,174.81205
http://www.wikidata.org/entity/Q1322666,Mount Sirung,-8.5166666666667,124.13333333333
http://www.wikidata.org/entity/Q1630952,Patomskiy crater,59.28472222,116.58944444
http://www.wikidata.org/entity/Q1639195,Mount Mikeno,-1.46276833,29.41681722
http://www.wikidata.org/entity/Q1474799,Torfajökull,63.8969996629,-18.9988738664
http://www.wikidata.org/entity/Q1324660,Tiger Island,13.265555555556,-87.637777777778
http://www.wikidata.org/entity/Q1769276,Nevado San Francisco,-26.918333333333,-68.263055555556
http://www.wikidata.org/entity/Q1535333,Marmolejo,-33.717129,-69.864514
http://www.wikidata.org/entity/Q1429816,Knüllköpfchen,50.916741666667,9.4222472222222
http://www.wikidata.org/entity/Q1436026,Q1436026,35.70111111,81.64972222
http://www.wikidata.org/entity/Q1411801,Horns of Hattin,32.799722222222,35.459722222222
